IMEI	Advertising ID
826034	UK
276002	DE
616	US
276003	DE
276005	DE
None	IT
276008	DE
752033	SE
862	US
276001	DE
820	US
501	US
524	US
623	US
617	US
686	US
505	US
250089	FR
659	US
519	US
826041	UK
541	US
789	US
826042	UK
866	US
504	US
250051	FR
543	US
790	US
609	US
515	US
410099	KR
563	US
511	US
410019	KR
250085	FR
826046	UK
560	US
532	US
765	US
	07114
250092	FR
622	US
566	US
PosteMobile	34151
276004	DE
276007	DE
410044	KR
506	US
250076	FR
826043	UK
250020	FR
826045	UK
AT&T	60430
250034	FR
250006	FR
250003	FR
250094	FR
208006	DK
Telekom.de	78554
250075	FR
HIGH	56154
o2	12435
Boost Mobile	12946
637	US
547	US
Digi.Mobil	32574
544	US
Vodafone	80796
NOS	1950-080
410024	KR
Fullrate	4000
250035	FR
klarmobil	49545
250086	FR
SKTelecom	28117
410195	KR
Wind	31021
T-Mobile	78207
KDDI	110-0013
250059	FR
613	US
510	US
Three Mobile	wv4 6sn
TracFone	17046
Sprint	49093
746	US
Orange F	33290
Bouygues Telecom	75001
congstar	01069
T-Mobile - US	44105
NetMobil	50825
Movistar	04009
EE	pr8 2pq
SFR	69200
1&1	45661
MEDIONmobile	47226
Verizon	75115
I TIM	85050
Free	63800
otelo.de	09518
mobilcom-debitel	41517
SK Telecom	58610
o2 - de	59557
Yoigo	46960
250078	FR
Telefonica	63128
410111	KR
Ortel D	16259
BleibZuHaus T.de	56584
Verizon Wireless	77365
youSee	7400
Orange	960 01
O2	tn38 0xt
F SFR	51350
Credit Mutuel	86130
mobilcom	26721
Vodafone.de	44623
Aio	43140
276006	DE
遠傳電信	106 53
512	US
819	US
250013	FR
650	US
T-Mobile  NL	4382 lm
250007	FR
TIM	84016
250031	FR
826040	UK
618	US
410082	KR
709	US
250080	FR
250044	FR
630	US
250091	FR
250077	FR
604	US
250096	FR
410143	KR
250021	FR
533	US
526	US
250057	FR
410013	KR
803	US
534	US
undefined	undefined
250093	FR
410084	KR
410118	KR
539	US
881	US
208001	DK
826047	UK
752242	SE
513	US
807	US
581	US
250017	FR
555	US
517	US
773	US
610	US
574	US
410178	KR
605	US
673	US
410011	KR
826039	UK
528	US
826044	UK
410062	KR
124405	CA
826038	UK
577	US
250058	FR
619	US
250054	FR
250026	FR
529	US
410043	KR
250030	FR
753	US
392002	JP
537	US
124825	CA
752	US
718	US
546	US
250010	FR
124535	CA
392012	JP
717	US
679	US
826033	UK
801	US
392001	JP
744	US
752030	SE
751	US
3	00134
410096	KR
MEO	3230-233
250011	FR
352021	IS
U.S. Cellular	50650
826035	UK
WOM	4160000
826037	UK
250014	FR
124505	CA
250068	FR
T-Mobile UK	nw9 9ld
 	51023
LikNamie	54306
M1	542224
410211	KR
KT	03311
Singtel	238621
NTT DOCOMO	559-0011
Algar Telecom	14580-000
250074	FR
752021	SE
XL Axiata	14440
FASTWEB	10127
TRUE-H	10230
airtel	560085
vodafone NZ	0602
C Spire	39701
MetroPcs	55316
Youfone	5406 xs
CLARO	None
vodafone P	3700-011
ayyildiz.de	46483
DiRumahLebihBaik	15419
YES OPTUS	3076
LGU+	14506
Sky	sy16 1qu
AIS	75120
StarHub	640204
JAZZTEL	28038
Telenet	1040
Personal	b1716 aft
TELCEL	72550
Videotron	j0j 0a1
Tele2	3257 ka
Telenor HU	9021
535	US
124462	CA
710	US
554	US
250064	FR
531	US
573	US
839	US
643006	RU
611	US
250062	FR
518	US
556	US
124521	CA
36403	AU
250001	FR
124421	CA
250045	FR
678	US
250061	FR
410007	KR
250087	FR
770	US
392005	JP
602	US
250032	FR
641	US
124485	CA
250042	FR
208084	DK
392003	JP
250002	FR
567	US
250029	FR
124539	CA
250066	FR
中文	173.242.118.157
36402	AU
676	US
124408	CA
392014	JP
250072	FR
410203	KR
538	US
757	US
542	US
764	US
575	US
250050	FR
759	US
600	US
410039	KR
758	US
521	US
606	US
671	US
643001	RU
124452	CA
669	US
410041	KR
250067	FR
392007	JP
250081	FR
410016	KR
559	US
647	US
576	US
IDF	
HDF	
208029	DK
410097	KR
588	US
208002	DK
392011	JP
754	US
GES	
BE	
527	US
PAC	
true	Wuppertal
BW	
811	US
TH	
530	US
557	US
682	US
NI	
Mainz	
603	US
NW	
208019	DK
ARA	
HE	
208040	DK
711	US
514	US
36507	AU
208030	DK
B	
SN	
TO	
PA	
392009	JP
564	US
392004	JP
MI	
825	US
VBR	
SA	
GI	
BY	
36309	AU
124806	CA
124015	CA
208009	DK
CE	
156204	CN
702	US
ST	
GT	
HH	
392008	JP
VWV	
false	Pujols
SI	
Hurth	
Guteborn	
13	
578234	NO
CO	
36119	AU
124530	CA
VA	
Lohra	
642	US
36508	AU
MC	
RE	
M	
36102	AU
561	US
208038	DK
Aschaffenburg	
ME	
2260000	SA
Nice	
BB	
571	US
T	
NAQ	
Berlin	
156115	CN
RJ	
752071	SE
Sainte-Felicite-De-L'Islet	
Koengen	
36306	AU
156119	CN
zh-Hans-CN	112.51.1.219
zh-Hans-US	125.77.94.35
36212	AU
NA	
36505	AU
36121	AU
500004	SA
36214	AU
762	US
124501	CA
36213	AU
36601	AU
3072	EU
NOR	
QC	
725	US
578394	NO
WLX	
516	US
36401	AU
BN	
VR	
111511	SA
156073	CN
PT	
36302	AU
392006	JP
9	
Z	
752176	SE
Customer User ID	AppsFlyer ID
395488	1581692680856-4069530197492622403
289521	1579416973144-1352785153986405698
387413	1580736370941-2070485761247383189
309981	1581783576748-8576897539513108624
323531	1579493978217-8263194841165883683
297229	1579432905285-6073598933782831400
379800	1580326437551-5502801028863215406
383850	1580467555531-8444631202141030845
119749	1579332529709-8888242406602440661
88350	1578433631018-4417682278485369978
378340	1580294674810-7921008200855086800
386784	1580670696842-6549517321809373604
395177	1581649279150-8319516453709292232
3088	1575536199158-3998834976689351209
235349	1579279890372-6259528858852063443
385347	1580570537763-4793351518814406945
352661	1579680328737-2499688702241489558
330145	1579528357922-3283679273492286181
126774	1578809971910-3969117154698999893
312321	1579458612308-3952541324221978725
395901	1581750959931-4457072328270702830
217941	1579208902281-7187403168969237930
106472	1578678542796-4429134899058086199
377849	1580277618709-893811009233809716
224584	1579247630190-5230425710922969743
351169	1579657558309-2983849732646256161
337606	1579556784076-4924660316937310780
390397	1581059595878-488347053430946718
84025	1578328467857-2724727655618908277
395707	1581719252687-1676520922700555633
338327	1579560737651-3735925139471801007
285735	1579396218953-3840009895304787178
160002	1578979503153-5525182793581119133
315398	1579464003277-1194873925487021164
396487	1581805467344-4398420251526918601
393903	1581474985034-7677870112783724435
188735	1579078445250-4283925269282406570
172653	1579018014857-2847785368928241783
356401	1579741143735-6222410886903848362
293738	1579426273507-5492525194977525360
343151	1579606008201-2568882756111139744
270617	1579365074227-8830632525549128505
263797	1579352230515-6521456701608516144
234589	1579278245259-7522417259149256340
345043	1579617508836-1505716157807126226
149611	1578940376223-5054726264054646393
366084	1579985119534-8789968746118718358
343086	1579605864531-1813908630127650412
389066	1580904227991-204723501138755898
179477	1579034319325-1965241836183772877
307976	1579451750827-3410192238178798327
367983	1580037738791-87387130616412541
116598	1578753300859-400183211671329927
275914	1579373780050-3593580358053270417
275910	1579373754600-7110164393975559579
379547	1580322222588-7989241927520999608
396346	1581792309137-3097345207636152566
395199	1581653048691-8234204943643653670
130641	1578832837309-4075712926308739693
97977	1578610194116-7877964037875261453
158614	1578970295928-1159192982775840729
137139	1578866209414-5850922506726779428
217071	1580770509778-329605865662456323
366111	1578817619803-5059499280971387253
308695	1579452813114-6416681926176885942
394915	1581611727465-8435623299183386131
109618	1578697319831-584735209071482614
372709	1580142425133-2657725386290487800
396219	1581781093037-2289084688546187417
180150	1579457816267-8728414714085052402
269011	1579360891785-4086055855141020890
375738	1580501721903-7746804043639380937
379262	1580317372705-7927570151073128440
199690	1579121107864-8847108091557467683
100086	1578630030269-1457221420077373632
395567	1581701373004-512285934937677603
366878	1580004481613-3785204076540059571
353417	1579694294181-5396699692249506210
213600	1579198573260-4537798006201870076
367413	1580027112604-4506289327784618377
334096	1579543811335-3236559674593182380
323725	1579495334300-3506809070019274677
364732	1579965050653-8313295255267817177
303642	1579443394800-5760227299916921750
395094	1581632741312-2186741296102315214
395958	1581756649475-9035474249048007065
357010	1579765412733-4807169783075670622
245802	1579298617393-4158957317727600005
311530	1579457261478-1854989868411655998
49839	1576991748559-2523839130157696624
154394	1578951642204-5674240348805911394
343987	1579611525764-6346546996051097913
339699	1579573991909-813628892512077289
378910	1581731458090-271535861694321517
351747	1579666544487-5716195092163908408
177395	1579029833793-458047344357953853
381087	1580369947976-7260062828101812001
394692	1581589722181-729698804557088664
395729	1581722275383-3284209779827519877
281008	1579382716307-4437923084387259479
331958	1579548956148-6330210439145474836
395718	1581721557801-7770872808311764398
384523	1581722038884-4562483832852661870
256105	1579338048923-2044688713943860290
291978	1579422956885-5646417657397314159
202152	1579133798632-2682816751711294326
107852	1578686047975-255666555208290017
289108	1579415402541-3622275402395192947
317776	1579468634629-5762569578720270128
350312	1579647340583-3462660488472477551
376450	1580238416520-9135390673458880890
376960	1580245597781-7818944148943087742
363529	1579943923486-3319895597313980779
176842	1579028565087-5589118344057127372
311555	1579457350934-6640671999215316172
390826	1581102748731-7939466435298501408
380450	1580339176227-7732925383648988226
381035	1580367722732-6372762548014371611
151314	1578944528133-3055545456392487348
271589	1581584523856-7948048033630843016
188209	1579075226426-2177033450642848287
166818	1579004284201-6113425351101821087
314909	1579463132907-2154918157680437810
298161	1579434281964-1424364918608698162
309711	1579454334036-1745794647490345596
218024	1579209077723-6645090909110416397
383291	1580431170920-7825561942663260781
149899	1578941114579-3684517971349198596
382629	1580411747483-5442331920480674670
189368	1579081351564-4978827076103491267
360738	1579866351167-4337980969114161695
263792	1579352175553-5830049300203538005
367236	1580022173452-543783514915000765
191799	1579092211942-4664062383884600429
117293	1578760138300-3453121940147684922
395344	1581678267299-9014182013638885807
353226	1579691123191-2127207293223710224
338425	1579728195928-11089730770710384
176786	1579028659160-2408459131035091065
80940	1578269399792-3177812921361244060
329064	1579523977066-5361786065367479242
393043	1581358867471-2303831473653964734
394225	1581521166423-5856910832257327432
9274	1575882928987-5262842785747119379
353153	1579725067408-7026333463182916184
389015	1580898853087-2036484614944453136
387137	1580709195923-5935703508164379962
385115	1580546542491-8085170835159797532
279963	1579380744260-424335372984523182
382461	1580408739661-8136501998970186414
92088	1578525344162-8381242586061996850
370024	1580098803229-7670859596888603054
91678	1578518636592-1551413046596897634
349907	1579643802398-3433184095362935888
269554	1579362172692-8395476469298890148
373471	1580155255963-8619273217832409518
124012	1578785153339-8830322364016079219
339268	1579569159658-3320629182643374994
60796	1577318899601-8575574816464666340
350169	1579645915753-7736646500204441319
383774	1580463063673-656891060378886273
394480	1581550704300-4395316474992531758
346423	1579625636667-9188926861484687782
154760	1578952656350-4418455688067562861
374628	1580191749996-1485334298605639891
50656	1577023121535-862674352436302461
132632	1578844929484-567308990220278630
88604	1578439120891-8490115319539799322
348909	1579637844061-7386848232469829908
315174	1579469824226-3672685173070806997
197564	1579113364684-8700994361744217478
374666	1580192932307-8293893213884123549
378499	1580299277919-2307896464826434815
359646	1579893752923-6405218635223573865
169599	1579010811614-558434172126435788
356361	1579877920550-9065914398048547443
146781	1578931179418-8454613891047337785
76352	1578210086068-6669865190240910567
335961	1579565029320-2547155118345718633
381497	1580384360537-3494078728959155236
394425	1581543157511-1722237996738900858
318774	1579470343650-5262144173796437056
187102	1579110219967-2268539081128375506
142680	1578914942567-6594365568098005195
394574	1581569371185-8176920364836050571
318970	1579470792458-9161341733055276304
380461	1580339423795-5967733399878903705
376615	1580240394767-8566160877478355315
74119	1578059986683-3547428207905263496
394277	1581527147738-2136003858303584090
377713	1580270835990-30950336016503480
370338	1580071664214-2302269423197945577
197536	1579113262353-6727696974652483726
375171	1580210667312-7960773424135145517
90766	1578504368445-2462465764658813582
376786	1580242838111-594024465361616445
144308	1578921567979-3372316860678942274
393702	1581447815448-4899009470440871872
138507	1578877648185-8010485689502384087
95024	1578593720099-1294118925858039646
267257	1579434419802-8802478857853973686
189094	1579079948784-5656442503400279406
330128	1579528320382-7975302479635182542
364378	1581340573985-4468877988453002661
251610	1579325114425-8443073002869206954
217268	1579207273875-542420744844766725
381474	1580383591925-4887881076186714688
383674	1580457941698-2712647339000261132
372191	1580130695687-2131525522888017157
393997	1581493127381-2543680360253656453
377237	1580250891324-67977177265959253
176186	1579027224009-3052323234509500253
192205	1579093671476-1431329348921252307
318949	1579470733594-2244802510361606061
384721	1580507815752-857691682732293067
106720	1578679922928-7874841998306620478
300821	1579438861871-4764560497613321554
318446	1579469580003-4581199672599603732
372265	1580132501873-2484796599874298341
251185	1579322797420-2234732882867633824
124833	1578790831314-2990511280735738716
394433	1581544373864-6258759467669458901
393794	1581458085667-7926081983269803126
344804	1579616158302-1421632784955976272
377491	1580259774601-8089675567655034047
181159	1579038107669-3482496234969360053
139735	1578893079201-3387698350993933650
337138	1579554758578-1358197088913388784
199854	1579121717618-4312257258481173342
394435	1581544478740-2746523185678898584
388447	1580834678326-5875829744576703637
374308	1580174902517-3169721495138699371
214970	1579201844816-843394047474951927
221172	1579221616873-329007869736652034
307462	1579450918239-7323086333421929084
352131	1579672333097-1958372525442851685
273096	1579369088989-3616670830657548566
214891	1579201692012-7862895781227970701
391972	1581242728911-1267619123947038119
394441	1581545024261-2673995340915793109
389854	1580995033195-3451755178722913140
376595	1580240221936-107490878987482008
306191	1579448102794-1359295550698733342
63834	1577434690816-7823153373603754469
312847	1579459524993-4086696371746630181
29549	1576410473298-7592301517892360912
380225	1580333638625-7002417212149923169
234673	1579278516818-2367441534853936294
370571	1580247363393-6910714127426111905
120193	1578768986841-1846148224890997305
311925	1579457931019-6540788950311432589
380137	1580331877206-3519858148140956989
279823	1579380571813-5679487128042204056
388232	1580816451868-5066361274589156001
357547	1579781488644-1924226698976557171
363404	1579934752193-542474938280088913
174391	1579023018545-594936929944729915
180407	1579036364981-9105136434386189057
301425	1579439795578-6382436907613017405
369221	1580057241404-2791889985116775053
370398	1580234037048-2803571590927877874
362741	1579904801218-3249196294362487301
377817	1580276217934-3842360155593230478
386625	1580660670704-8621221406599234184
119589	1578766579870-4950331356707406612
218328	1579209942064-408157990416694351
82805	1578310780107-1013958141678721005
376051	1580231899274-798545199284741932
177735	1579030529470-1906593923697948225
278928	1579378964370-992319701064780894
336770	1579553330640-9132646674654154382
330215	1579528674018-3986895147681301213
341494	1579593306074-8139591708958179016
381214	1580374326536-2283171272953677566
80780	1578266572699-9218177605066345227
394293	1581529224007-4632208267210495471
148493	1578937637443-5492401471202920395
