1	0	2.1	1.26	1.26	1.26		
2	10	2.2	1.28	1.32	1.28	8 USD Coupon	
3	30	2.4	1.3	1.38	1.3	8 USD Coupon	
4	60	2.5	1.32	1.44	1.32	8 USD Coupon	
5	100	2.6	1.34	1.5	1.34	30 USD Coupon	
6	160	2.7	1.36	1.54	1.36		160
7	320	2.8	1.38	1.58	1.38	30 USD Coupon	
8	640	2.9	1.4	1.62	1.4		320
9	1280	3	1.42	1.68	1.42	30 USD Coupon	
10	2560	3.1	1.44	1.72	1.44		550
11	5120	3.2	1.46	1.78	1.46	30 USD Coupon	
12	10240	3.3	1.48	1.82	1.48		800
13	20480	3.3	1.5	1.88	1.5		1150
14	40960	3.4	1.52	1.92	1.52		1600
15	81920	3.5	1.54	1.98	1.54		2200
16	163840	3.6	1.56	2.2	1.56		2600
17	327680	3.7	1.58	2.6	1.58		3200
18	655360	3.8	1.6	3	1.6		3700
19	1310720	3.9	1.62	3.8	1.62		4400
